Idx,Data,F_Data
0,1.01,1
1,1.00959,0.999925
2,1.0084,0.999699
3,1.00648,0.999322
4,1.00394,0.998795
5,1.0009,0.998118
6,0.997536,0.99729
7,0.994002,0.996313
8,0.990471,0.995185
9,0.987101,0.993907
10,0.984031,0.99248
11,0.98137,0.990903
12,0.979189,0.989177
13,0.977518,0.987301
14,0.976345,0.985278
15,0.975614,0.983105
16,0.97523,0.980785
17,0.975064,0.978317
18,0.974966,0.975702
19,0.97477,0.97294
20,0.974307,0.970031
21,0.973415,0.966976
22,0.971952,0.963776
23,0.969804,0.960431
24,0.966892,0.95694
25,0.963179,0.953306
26,0.95867,0.949528
27,0.953415,0.945607
28,0.947501,0.941544
29,0.941052,0.937339
30,0.934217,0.932993
31,0.92716,0.928506
32,0.920053,0.92388
33,0.913059,0.919114
34,0.906326,0.91421
35,0.899977,0.909168
36,0.894098,0.903989
37,0.888735,0.898674
38,0.883894,0.893224
39,0.879535,0.88764
40,0.875577,0.881921
41,0.871906,0.87607
42,0.868377,0.870087
43,0.864831,0.863973
44,0.861098,0.857729
45,0.857013,0.851355
46,0.852426,0.844854
47,0.847211,0.838225
48,0.841277,0.83147
49,0.83457,0.824589
50,0.82708,0.817585
51,0.818839,0.810457
52,0.809923,0.803208
53,0.800442,0.795837
54,0.790537,0.788346
55,0.780369,0.780737
56,0.770108,0.77301
57,0.759921,0.765167
58,0.749966,0.757209
59,0.740376,0.749136
60,0.731251,0.740951
61,0.722655,0.732654
62,0.714609,0.724247
63,0.707091,0.715731
64,0.700036,0.707107
65,0.693341,0.698376
66,0.686873,0.689541
67,0.680478,0.680601
68,0.673989,0.671559
69,0.667238,0.662416
70,0.660068,0.653173
71,0.652345,0.643832
72,0.643963,0.634393
73,0.634853,0.624859
74,0.624989,0.615232
75,0.614387,0.605511
76,0.603109,0.595699
77,0.591251,0.585798
78,0.578945,0.575808
79,0.566345,0.565732
80,0.553619,0.55557
81,0.540939,0.545325
82,0.528466,0.534998
83,0.516344,0.52459
84,0.504687,0.514103
85,0.493575,0.503538
86,0.483045,0.492898
87,0.473092,0.482184
88,0.463667,0.471397
89,0.454681,0.460539
90,0.446012,0.449611
91,0.437514,0.438616
92,0.429022,0.427555
93,0.420369,0.41643
94,0.411394,0.405241
95,0.40195,0.393992
96,0.391922,0.382683
97,0.381226,0.371317
98,0.36982,0.359895
99,0.357704,0.348419
100,0.344922,0.33689
101,0.331559,0.32531
102,0.317734,0.313682
103,0.303595,0.302006
104,0.289305,0.290285
105,0.275036,0.27852
106,0.260955,0.266713
107,0.247214,0.254866
108,0.23394,0.24298
109,0.221227,0.231058
110,0.209128,0.219101
111,0.197655,0.207111
112,0.186776,0.19509
113,0.176416,0.18304
114,0.166466,0.170962
115,0.156787,0.158858
116,0.147221,0.14673
117,0.137601,0.134581
118,0.127761,0.122411
119,0.117549,0.110222
120,0.106836,0.0980171
121,0.0955267,0.0857973
122,0.0835616,0.0735646
123,0.070925,0.0613207
124,0.057645,0.0490677
125,0.043791,0.0368072
126,0.0294702,0.0245412
127,0.0148202,0.0122715
128,3.11252e-16,8.92636e-14
129,-0.0148202,-0.0122715
130,-0.0294702,-0.0245412
131,-0.043791,-0.0368072
132,-0.057645,-0.0490677
133,-0.070925,-0.0613207
134,-0.0835616,-0.0735646
135,-0.0955267,-0.0857973
136,-0.106836,-0.0980171
137,-0.117549,-0.110222
138,-0.127761,-0.122411
139,-0.137601,-0.134581
140,-0.147221,-0.14673
141,-0.156787,-0.158858
142,-0.166466,-0.170962
143,-0.176416,-0.18304
144,-0.186776,-0.19509
145,-0.197655,-0.207111
146,-0.209128,-0.219101
147,-0.221227,-0.231058
148,-0.23394,-0.24298
149,-0.247214,-0.254866
150,-0.260955,-0.266713
151,-0.275036,-0.27852
152,-0.289305,-0.290285
153,-0.303595,-0.302006
154,-0.317734,-0.313682
155,-0.331559,-0.32531
156,-0.344922,-0.33689
157,-0.357704,-0.348419
158,-0.36982,-0.359895
159,-0.381226,-0.371317
160,-0.391922,-0.382683
161,-0.40195,-0.393992
162,-0.411394,-0.405241
163,-0.420369,-0.41643
164,-0.429022,-0.427555
165,-0.437514,-0.438616
166,-0.446012,-0.449611
167,-0.454681,-0.460539
168,-0.463667,-0.471397
169,-0.473092,-0.482184
170,-0.483045,-0.492898
171,-0.493575,-0.503538
172,-0.504687,-0.514103
173,-0.516344,-0.52459
174,-0.528466,-0.534998
175,-0.540939,-0.545325
176,-0.553619,-0.55557
177,-0.566345,-0.565732
178,-0.578945,-0.575808
179,-0.591251,-0.585798
180,-0.603109,-0.595699
181,-0.614387,-0.605511
182,-0.624989,-0.615232
183,-0.634853,-0.624859
184,-0.643963,-0.634393
185,-0.652345,-0.643832
186,-0.660068,-0.653173
187,-0.667238,-0.662416
188,-0.673989,-0.671559
189,-0.680478,-0.680601
190,-0.686873,-0.689541
191,-0.693341,-0.698376
192,-0.700036,-0.707107
193,-0.707091,-0.715731
194,-0.714609,-0.724247
195,-0.722655,-0.732654
196,-0.731251,-0.740951
197,-0.740376,-0.749136
198,-0.749966,-0.757209
199,-0.759921,-0.765167
200,-0.770108,-0.77301
201,-0.780369,-0.780737
202,-0.790537,-0.788346
203,-0.800442,-0.795837
204,-0.809923,-0.803208
205,-0.818839,-0.810457
206,-0.82708,-0.817585
207,-0.83457,-0.824589
208,-0.841277,-0.83147
209,-0.847211,-0.838225
210,-0.852426,-0.844854
211,-0.857013,-0.851355
212,-0.861098,-0.857729
213,-0.864831,-0.863973
214,-0.868377,-0.870087
215,-0.871906,-0.87607
216,-0.875577,-0.881921
217,-0.879535,-0.88764
218,-0.883894,-0.893224
219,-0.888735,-0.898674
220,-0.894098,-0.903989
221,-0.899977,-0.909168
222,-0.906326,-0.91421
223,-0.913059,-0.919114
224,-0.920053,-0.92388
225,-0.92716,-0.928506
226,-0.934217,-0.932993
227,-0.941052,-0.937339
228,-0.947501,-0.941544
229,-0.953415,-0.945607
230,-0.95867,-0.949528
231,-0.963179,-0.953306
232,-0.966892,-0.95694
233,-0.969804,-0.960431
234,-0.971952,-0.963776
235,-0.973415,-0.966976
236,-0.974307,-0.970031
237,-0.97477,-0.97294
238,-0.974966,-0.975702
239,-0.975064,-0.978317
240,-0.97523,-0.980785
241,-0.975614,-0.983105
242,-0.976345,-0.985278
243,-0.977518,-0.987301
244,-0.979189,-0.989177
245,-0.98137,-0.990903
246,-0.984031,-0.99248
247,-0.987101,-0.993907
248,-0.990471,-0.995185
249,-0.994002,-0.996313
250,-0.997536,-0.99729
251,-1.0009,-0.998118
252,-1.00394,-0.998795
253,-1.00648,-0.999322
254,-1.0084,-0.999699
255,-1.00959,-0.999925
256,-1.01,-1
257,-1.00959,-0.999925
258,-1.0084,-0.999699
259,-1.00648,-0.999322
260,-1.00394,-0.998795
261,-1.0009,-0.998118
262,-0.997536,-0.99729
263,-0.994002,-0.996313
264,-0.990471,-0.995185
265,-0.987101,-0.993907
266,-0.984031,-0.99248
267,-0.98137,-0.990903
268,-0.979189,-0.989177
269,-0.977518,-0.987301
270,-0.976345,-0.985278
271,-0.975614,-0.983105
272,-0.97523,-0.980785
273,-0.975064,-0.978317
274,-0.974966,-0.975702
275,-0.97477,-0.97294
276,-0.974307,-0.970031
277,-0.973415,-0.966976
278,-0.971952,-0.963776
279,-0.969804,-0.960431
280,-0.966892,-0.95694
281,-0.963179,-0.953306
282,-0.95867,-0.949528
283,-0.953415,-0.945607
284,-0.947501,-0.941544
285,-0.941052,-0.937339
286,-0.934217,-0.932993
287,-0.92716,-0.928506
288,-0.920053,-0.92388
289,-0.913059,-0.919114
290,-0.906326,-0.91421
291,-0.899977,-0.909168
292,-0.894098,-0.903989
293,-0.888735,-0.898674
294,-0.883894,-0.893224
295,-0.879535,-0.88764
296,-0.875577,-0.881921
297,-0.871906,-0.87607
298,-0.868377,-0.870087
299,-0.864831,-0.863973
300,-0.861098,-0.857729
301,-0.857013,-0.851355
302,-0.852426,-0.844854
303,-0.847211,-0.838225
304,-0.841277,-0.83147
305,-0.83457,-0.824589
306,-0.82708,-0.817585
307,-0.818839,-0.810457
308,-0.809923,-0.803208
309,-0.800442,-0.795837
310,-0.790537,-0.788346
311,-0.780369,-0.780737
312,-0.770108,-0.77301
313,-0.759921,-0.765167
314,-0.749966,-0.757209
315,-0.740376,-0.749136
316,-0.731251,-0.740951
317,-0.722655,-0.732654
318,-0.714609,-0.724247
319,-0.707091,-0.715731
320,-0.700036,-0.707107
321,-0.693341,-0.698376
322,-0.686873,-0.689541
323,-0.680478,-0.680601
324,-0.673989,-0.671559
325,-0.667238,-0.662416
326,-0.660068,-0.653173
327,-0.652345,-0.643832
328,-0.643963,-0.634393
329,-0.634853,-0.624859
330,-0.624989,-0.615232
331,-0.614387,-0.605511
332,-0.603109,-0.595699
333,-0.591251,-0.585798
334,-0.578945,-0.575808
335,-0.566345,-0.565732
336,-0.553619,-0.55557
337,-0.540939,-0.545325
338,-0.528466,-0.534998
339,-0.516344,-0.52459
340,-0.504687,-0.514103
341,-0.493575,-0.503538
342,-0.483045,-0.492898
343,-0.473092,-0.482184
